"Sample"	"DOC.mg"	"TP.uM"	"TN.mg"	"DOC.uM"	"TP.ug"	"TN.uM"
"Tank_01"	2.33847773986224	0.502587915709095	0.295719770857064	194.710776684116	15.5651477495107	4.76930932042856
"Tank_02"	1.95624377711475	0.419616316309421	0.261361814901375	162.884486233305	12.9955173161028	4.2151910783664
"Tank_03"	1.18368594036978	0.355020977179472	0.55808961633687	98.5583077703551	10.9949996632483	9.00075771435777
"Tank_04"	1.63832747756749	0.0687968020691852	0.540910638359026	136.413535259431	2.13063696008267	8.7236985933267
"Tank_05"	1.70505490156559	0.534328728902259	0.317583924647048	141.969520818467	16.548160734103	5.12193001992266
"Tank_06"	1.5822288199457	0.429639731001999	0.255114913818523	131.742542241076	13.3059424691319	4.11444230708238
"Tank_07"	1.39568751532504	0.439663145694576	0.394108462911992	116.210385707273	13.616367622161	6.35610246815202
"Tank_08"	1.83872012550445	0.538783579876738	0.287911144503498	153.09900865799	16.6861274687826	4.64337335632352
"Tank_09"	1.91129982572594	0.603935775378497	NA	159.142277559262	18.703890963472	NA
"Tank_10"	1.94321959375485	0.626766886622702	0.231689034757826	161.800041932444	19.4109704787051	3.73663441476727
"Tank_11"	1.63660621985472	0.361146397269381	0.345694979519884	136.270216629362	11.1847039234327	5.57529949070079
"Tank_12"	1.80133058296611	0.360032684525761	0.233250760028539	149.985809527032	11.1502122397628	3.76182160758827
"Tank_13"	1.9333892997064	0.370056099218339	0.180152100824292	160.981533311824	11.460637392792	2.90545705167402
"Tank_14"	3.93339513650812	0.47752937897765	0.19420762826071	327.509819306698	14.7890848669378	3.13214178706308
"Tank_15"	1.76288916071441	0.302119621857532	0.22388040840426	146.785026788809	9.35664468892777	3.61069845066222
"Tank_16"	2.17461400560724	0.0320442815297318	NA	181.06684310148	0.992411398975795	NA
"Tank_17"	1.7390784290212	0.499803633850046	0.225442133674973	144.802452406178	15.4789185403359	3.63588564348323
"Tank_18"	1.74065624859123	0.329405584076217	0.225442133674973	144.933827817075	10.2016909388404	3.63588564348323
"Tank_19"	1.46303172333688	0.135619566686373	0.267608715984228	121.81772710875	4.20013798027697	4.31593984965043
"Tank_20"	1.82428068580295	0.250331979279212	0.220756957862834	151.896724594628	7.75278139827719	3.56032406502021
"Tank_21"	2.10204864920002	0.0220208668371539	0.529978561464034	175.024768522125	0.681986245946655	8.54738824357965
"Tank_22"	2.61720673881561	0.371726668333769	0.189522452448571	217.918840180069	11.5123749182968	3.05658020860006
"Tank_23"	1.38736810304669	0.0142248776318153	0.494058880237632	115.517678995269	0.440544460257319	7.96808280869648
"Tank_24"	1.52944358342097	0.395114635949785	0.29884322139849	127.347437585606	12.2367002753648	4.81968370607057
