Sample	Treatment
Tank_01	Mix
Tank_02	PO4
Tank_03	Ctrl
Tank_04	Ctrl
Tank_05	Mix
Tank_06	AEP
Tank_07	PA
Tank_08	PO4
Tank_09	Mix
Tank_10	ATP
Tank_11	PA
Tank_12	ATP
Tank_13	PO4
Tank_14	PO4
Tank_15	ATP
Tank_16	Mix
Tank_17	AEP
Tank_18	ATP
Tank_19	PA
Tank_20	AEP
Tank_21	Ctrl
Tank_22	AEP
Tank_23	Ctrl
Tank_24	PA
