Sample	Treatment
Tank_01	Mix
Tank_02	SRP
Tank_03	Ctrl
Tank_04	Ctrl
Tank_05	Mix
Tank_06	AEP
Tank_07	Phyt
Tank_08	SRP
Tank_09	Mix
Tank_10	ATP
Tank_11	Phyt
Tank_12	ATP
Tank_13	SRP
Tank_14	SRP
Tank_15	ATP
Tank_16	Mix
Tank_17	AEP
Tank_18	ATP
Tank_19	Phyt
Tank_20	AEP
Tank_21	Ctrl
Tank_22	AEP
Tank_23	Ctrl
Tank_24	Phyt
