Sample	Vol	Tows	Vol.subSamp	TLZoop	Cladocera	Copepoda
Tank_01	50	2	10	58	37	21
Tank_02	50	2	10	30	7	23
Tank_03	50	3	10	26	2	24
Tank_04	50	3	10	79	13	66
Tank_05	50	2	8	82	42	40
Tank_06	50	2	2	62	32	30
Tank_07	50	2	10	114	39	75
Tank_08	50	2	10	111	39	72
Tank_09	50	2	8	374	253	121
Tank_10	50	2	6	179	107	72
Tank_11	50	2	6	180	126	54
Tank_12	50	2	7.6	155	94	61
Tank_13	50	2	6	204	98	106
Tank_14	50	2	5	148	109	39
Tank_15	50	2	5	299	162	137
Tank_16	50	2	5	124	81	43
Tank_17	50	2	6	105	77	28
Tank_18	50	2	7	139	27	112
Tank_19	50	2	5	197	156	41
Tank_20	50	2	6	168	103	65
Tank_21	50	2	6	292	164	128
Tank_22	50	2	8	230	170	60
Tank_23	50	3	8.2	131	52	79
Tank_24	50	2	5	163	116	47
